angle,rsp
0,15.6345
0.5,15.6334
1,15.6302
1.5,15.6249
2,15.6173
2.5,15.6077
3,15.5959
3.5,15.5819
4,15.5659
4.5,15.5476
5,15.5272
5.5,15.5047
6,15.48
6.5,15.4532
7,15.4242
7.5,15.393
8,15.3597
8.5,15.3242
9,15.2866
9.5,15.2468
10,15.2049
10.5,15.1608
11,15.1145
11.5,15.0661
12,15.0155
12.5,14.9628
13,14.9078
13.5,14.8507
14,14.7915
14.5,14.73
15,14.6664
15.5,14.6006
16,14.5326
16.5,14.4625
17,14.3902
17.5,14.3157
18,14.239
18.5,14.1602
19,14.0792
19.5,13.996
20,13.9106
20.5,13.8231
21,13.7334
21.5,13.6416
22,13.5476
22.5,13.4514
23,13.3531
23.5,13.2527
24,13.1501
24.5,13.0454
25,12.9386
25.5,12.8297
26,12.7187
26.5,12.6056
27,12.4904
27.5,12.3732
28,12.2539
28.5,12.1327
29,12.0094
29.5,11.8842
30,11.757
30.5,11.6279
31,11.497
31.5,11.3641
32,11.2295
32.5,11.0931
33,10.9549
33.5,10.8151
34,10.6736
34.5,10.5305
35,10.3859
35.5,10.2398
36,10.0923
36.5,9.94349
37,9.79341
37.5,9.64214
38,9.48977
38.5,9.3364
39,9.18211
39.5,9.02701
40,8.87121
40.5,8.71482
41,8.55795
41.5,8.40074
42,8.2433
42.5,8.08578
43,7.92832
43.5,7.77105
44,7.61414
44.5,7.45773
45,7.30198
45.5,7.14706
46,6.99313
46.5,6.84035
47,6.6889
47.5,6.53894
48,6.39063
48.5,6.24414
49,6.09963
49.5,5.95725
50,5.81716
50.5,5.6795
51,5.5444
51.5,5.41198
52,5.28236
52.5,5.15564
53,5.0319
53.5,4.91123
54,4.79367
54.5,4.67927
55,4.56804
55.5,4.46001
56,4.35515
56.5,4.25345
57,4.15485
57.5,4.05929
58,3.96671
58.5,3.87699
59,3.79005
59.5,3.70574
60,3.62395
60.5,3.54453
61,3.46731
61.5,3.39215
62,3.31885
62.5,3.24726
63,3.17718
63.5,3.10843
64,3.04082
64.5,2.97417
65,2.90828
65.5,2.84296
66,2.77803
66.5,2.7133
67,2.64859
67.5,2.58373
68,2.51854
68.5,2.45285
69,2.38649
69.5,2.31932
70,2.25118
70.5,2.18193
71,2.11141
71.5,2.03951
72,1.96609
72.5,1.89103
73,1.81421
73.5,1.73554
74,1.6549
74.5,1.5722
75,1.48735
75.5,1.40027
76,1.31089
76.5,1.21913
77,1.12492
77.5,1.02823
78,0.928985
78.5,0.827159
79,0.722714
79.5,0.615626
80,0.505877
80.5,0.39346
81,0.278378
81.5,0.160642
82,0.0402766
82.5,-0.0826825
83,-0.208186
