angle,rsp
0,15.6345
0.5,15.6335
1,15.6303
1.5,15.6251
2,15.6178
2.5,15.6084
3,15.5969
3.5,15.5834
4,15.5677
4.5,15.5499
5,15.5301
5.5,15.5081
6,15.484
6.5,15.4578
7,15.4296
7.5,15.3991
8,15.3666
8.5,15.332
9,15.2952
9.5,15.2562
10,15.2152
10.5,15.172
11,15.1266
11.5,15.0791
12,15.0294
12.5,14.9775
13,14.9234
13.5,14.8672
14,14.8087
14.5,14.7481
15,14.6852
15.5,14.6201
16,14.5527
16.5,14.4831
17,14.4113
17.5,14.3371
18,14.2607
18.5,14.182
19,14.101
19.5,14.0177
20,13.9321
20.5,13.8441
21,13.7537
21.5,13.661
22,13.5659
22.5,13.4684
23,13.3685
23.5,13.2662
24,13.1614
24.5,13.0541
25,12.9444
25.5,12.8322
26,12.7175
26.5,12.6003
27,12.4805
27.5,12.3582
28,12.2333
28.5,12.1058
29,11.9757
29.5,11.843
30,11.7076
30.5,11.5696
31,11.4289
31.5,11.2855
32,11.1394
32.5,10.9905
33,10.839
33.5,10.6846
34,10.5275
34.5,10.3677
35,10.205
35.5,10.0395
36,9.87123
36.5,9.70012
37,9.52618
37.5,9.34941
38,9.16981
38.5,8.98738
39,8.80213
39.5,8.61406
40,8.42318
40.5,8.22952
41,8.03309
41.5,7.83393
42,7.63207
42.5,7.42755
43,7.22041
43.5,7.01073
44,6.79856
44.5,6.58398
45,6.36709
45.5,6.14799
46,5.92679
46.5,5.70362
47,5.47865
47.5,5.25202
48,5.02394
48.5,4.79461
49,4.56425
49.5,4.33313
50,4.10153
50.5,3.86974
51,3.6381
51.5,3.40698
52,3.17676
52.5,2.94786
53,2.72073
53.5,2.49583
54,2.27366
54.5,2.05475
55,1.83961
55.5,1.62881
56,1.4229
56.5,1.22243
57,1.02795
57.5,0.840005
58,0.659093
58.5,0.485698
59,0.320254
59.5,0.163146
60,0.0146966
60.5,-0.124836
61,-0.255268
61.5,-0.376494
62,-0.488488
62.5,-0.591307
63,-0.685084
63.5,-0.770032
64,-0.846432
64.5,-0.914632
65,-0.975033
65.5,-1.02809
66,-1.07429
66.5,-1.11414
67,-1.1482
67.5,-1.177
68,-1.2011
68.5,-1.22105
69,-1.23738
69.5,-1.25061
70,-1.26124
70.5,-1.26975
71,-1.27658
71.5,-1.28216
72,-1.28688
72.5,-1.29108
73,-1.29511
73.5,-1.29926
74,-1.3038
74.5,-1.30897
75,-1.31498
75.5,-1.32202
76,-1.33025
76.5,-1.3398
77,-1.35079
77.5,-1.36331
78,-1.37743
78.5,-1.39321
79,-1.41068
79.5,-1.42986
80,-1.45075
80.5,-1.47333
81,-1.49759
81.5,-1.52347
82,-1.55093
82.5,-1.5799
83,-1.6103
83.5,-1.64205
84,-1.67505
84.5,-1.7092
85,-1.74437
85.5,-1.78045
86,-1.81731
86.5,-1.85482
87,-1.89282
87.5,-1.93119
88,-1.96976
88.5,-2.00839
89,-2.04692
89.5,-2.0852
90,-2.12306
90.5,-2.16037
91,-2.19697
91.5,-2.23271
92,-2.26744
92.5,-2.30105
93,-2.33338
93.5,-2.36434
94,-2.3938
94.5,-2.42167
95,-2.44786
95.5,-2.4723
96,-2.49493
96.5,-2.5157
97,-2.53458
97.5,-2.55156
98,-2.56664
98.5,-2.57984
99,-2.59118
99.5,-2.60072
100,-2.60852
100.5,-2.61465
101,-2.61922
101.5,-2.62232
102,-2.62408
102.5,-2.62461
103,-2.62407
103.5,-2.62259
104,-2.62035
104.5,-2.61749
105,-2.6142
105.5,-2.61065
106,-2.60702
106.5,-2.60349
107,-2.60025
107.5,-2.59749
108,-2.59539
108.5,-2.59415
109,-2.59395
109.5,-2.59498
110,-2.59743
110.5,-2.60149
111,-2.60733
111.5,-2.61514
112,-2.6251
112.5,-2.63738
113,-2.65217
113.5,-2.66965
114,-2.68997
114.5,-2.71332
115,-2.73986
115.5,-2.76977
116,-2.80322
116.5,-2.84038
117,-2.88142
117.5,-2.9265
118,-2.97582
118.5,-3.02954
119,-3.08784
119.5,-3.15092
120,-3.21895
120.5,-3.29213
121,-3.37066
121.5,-3.45475
122,-3.54462
122.5,-3.64049
123,-3.7426
123.5,-3.85121
124,-3.96656
124.5,-4.08895
125,-4.21868
125.5,-4.35605
126,-4.50141
126.5,-4.65512
127,-4.81758
127.5,-4.98922
128,-5.17048
128.5,-5.36189
129,-5.56397
129.5,-5.77735
130,-6.00266
130.5,-6.24065
131,-6.49212
131.5,-6.75796
132,-7.03918
132.5,-7.3369
133,-7.65237
133.5,-7.98703
134,-8.3425
134.5,-8.72063
135,-9.12357
135.5,-9.55378
136,-10.0141
136.5,-10.508
137,-11.0393
137.5,-11.6129
138,-12.2345
138.5,-12.9108
139,-13.6502
139.5,-14.4631
140,-15.3617
140.5,-16.3612
141,-17.4789
141.5,-18.7325
142,-20.1321
142.5,-21.6574
143,-23.1931
143.5,-24.4118
144,-24.7783
144.5,-24.0534
145,-22.636
145.5,-21.027
146,-19.4786
146.5,-18.0676
147,-16.8014
147.5,-15.6661
148,-14.6436
148.5,-13.7173
149,-12.8729
149.5,-12.0986
150,-11.3848
150.5,-10.7237
151,-10.1087
151.5,-9.53436
152,-8.99632
152.5,-8.49074
153,-8.01442
153.5,-7.5646
154,-7.13893
154.5,-6.73537
155,-6.35214
155.5,-5.98768
156,-5.64063
156.5,-5.30977
157,-4.99402
157.5,-4.69244
158,-4.40415
158.5,-4.1284
159,-3.86449
159.5,-3.61178
160,-3.36972
160.5,-3.13778
161,-2.91549
161.5,-2.70242
162,-2.49819
162.5,-2.30242
163,-2.11479
163.5,-1.935
164,-1.76275
164.5,-1.5978
165,-1.43989
165.5,-1.28882
166,-1.14438
166.5,-1.00637
167,-0.874613
167.5,-0.748956
168,-0.629243
168.5,-0.515333
169,-0.407094
169.5,-0.304407
170,-0.207158
170.5,-0.115242
171,-0.0285637
171.5,0.0529671
172,0.129433
172.5,0.20091
173,0.267469
173.5,0.329173
174,0.386082
174.5,0.438249
175,0.485724
175.5,0.528549
176,0.566764
176.5,0.600403
177,0.629497
177.5,0.654072
178,0.674149
178.5,0.689746
179,0.700877
179.5,0.707552
