angle,rsp
0,15.1619
0.5,15.1562
1,15.139
1.5,15.1104
2,15.0703
2.5,15.0186
3,14.9552
3.5,14.88
4,14.793
4.5,14.694
5,14.5827
5.5,14.459
6,14.3228
6.5,14.1736
7,14.0114
7.5,13.8356
8,13.6461
8.5,13.4423
9,13.2239
9.5,12.9904
10,12.7412
10.5,12.4757
11,12.1932
11.5,11.893
12,11.5741
12.5,11.2357
13,10.8766
13.5,10.4955
14,10.091
14.5,9.66139
15,9.20485
15.5,8.7191
16,8.20155
16.5,7.64912
17,7.05815
17.5,6.42423
18,5.74202
18.5,5.0049
19,4.2046
19.5,3.3306
20,2.36921
20.5,1.3022
21,0.104617
21.5,-1.25892
22,-2.84066
22.5,-4.72168
23,-7.03462
23.5,-10.0027
24,-13.9106
24.5,-17.5949
25,-15.6136
25.5,-11.677
26,-8.66374
26.5,-6.40724
27,-4.64626
27.5,-3.22225
28,-2.03986
28.5,-1.0387
29,-0.178542
29.5,0.568642
30,1.2231
30.5,1.79991
31,2.31058
31.5,2.76412
32,3.16767
32.5,3.527
33,3.84685
33.5,4.13114
34,4.38317
34.5,4.60572
35,4.80117
35.5,4.97156
36,5.11868
36.5,5.24405
37,5.34905
37.5,5.43487
38,5.50257
38.5,5.5531
39,5.5873
39.5,5.60594
40,5.6097
40.5,5.59921
41,5.57505
41.5,5.53773
42,5.48776
42.5,5.42558
43,5.35164
43.5,5.26634
44,5.1701
44.5,5.0633
45,4.94636
45.5,4.81967
46,4.68366
46.5,4.53878
47,4.38553
47.5,4.22441
48,4.05603
48.5,3.88102
49,3.70011
49.5,3.51413
50,3.324
50.5,3.13075
51,2.93556
51.5,2.73972
52,2.54468
52.5,2.35204
53,2.1635
53.5,1.9809
54,1.80618
54.5,1.64132
55,1.4883
55.5,1.34903
56,1.22532
56.5,1.11873
57,1.03056
57.5,0.961752
58,0.912827
58.5,0.883876
59,0.874538
59.5,0.884016
60,0.911121
60.5,0.954329
61,1.01185
61.5,1.08172
62,1.16184
62.5,1.2501
63,1.34441
63.5,1.44272
64,1.54312
64.5,1.64381
65,1.74315
65.5,1.83963
66,1.93191
66.5,2.01877
67,2.09915
67.5,2.1721
68,2.23679
68.5,2.29248
69,2.33853
69.5,2.37438
70,2.39952
70.5,2.41354
71,2.41604
71.5,2.40669
72,2.38521
72.5,2.35134
73,2.30486
73.5,2.24559
74,2.1734
74.5,2.08816
75,1.9898
75.5,1.87832
76,1.75372
76.5,1.6161
77,1.46563
77.5,1.30254
78,1.12719
78.5,0.940069
79,0.741797
79.5,0.533186
80,0.315259
80.5,0.0892875
81,-0.143173
81.5,-0.380243
82,-0.619693
82.5,-0.858914
83,-1.09492
83.5,-1.32435
84,-1.54355
84.5,-1.74866
85,-1.93573
85.5,-2.10098
86,-2.24094
86.5,-2.35277
87,-2.43445
87.5,-2.48496
88,-2.50439
88.5,-2.49393
89,-2.45577
89.5,-2.39294
90,-2.30908
90.5,-2.20818
91,-2.09436
91.5,-1.97169
92,-1.84405
