angle,rsp
0,15.2712
0.5,15.2631
1,15.2385
1.5,15.1975
2,15.14
2.5,15.0658
3,14.9747
3.5,14.8664
4,14.7406
4.5,14.597
5,14.4351
5.5,14.2544
6,14.0545
6.5,13.8345
7,13.5938
7.5,13.3315
8,13.0467
8.5,12.7383
9,12.4051
9.5,12.0456
10,11.6584
10.5,11.2415
11,10.793
11.5,10.3106
12,9.79165
12.5,9.2332
13,8.63196
13.5,7.98431
14,7.28637
14.5,6.53419
15,5.72424
15.5,4.85428
16,3.92523
16.5,2.94451
17,1.93227
17.5,0.930992
18,0.0172993
18.5,-0.694528
19,-1.07853
19.5,-1.06074
20,-0.670982
20.5,-0.0208676
21,0.764105
21.5,1.58939
22,2.39826
22.5,3.16174
23,3.86748
23.5,4.51202
24,5.09634
24.5,5.62338
25,6.09683
25.5,6.52046
26,6.89787
26.5,7.23233
27,7.52675
27.5,7.78371
28,8.00544
28.5,8.19389
29,8.35074
29.5,8.47741
30,8.57513
30.5,8.64494
31,8.68771
31.5,8.70415
32,8.69483
32.5,8.66022
33,8.60065
33.5,8.51635
34,8.40746
34.5,8.27402
35,8.11601
35.5,7.9333
36,7.72572
36.5,7.49304
37,7.23499
37.5,6.95127
38,6.6416
38.5,6.30575
39,5.94358
39.5,5.55514
40,5.14077
40.5,4.70126
41,4.23806
41.5,3.75357
42,3.25154
42.5,2.73752
43,2.21945
43.5,1.70824
44,1.21817
44.5,0.766857
45,0.374436
45.5,0.0614647
46,-0.154255
46.5,-0.26133
47,-0.25752
47.5,-0.150323
48,0.0449076
48.5,0.308378
49,0.619399
49.5,0.958999
50,1.31129
50.5,1.66384
51,2.00739
51.5,2.33533
52,2.64313
52.5,2.92782
53,3.18751
53.5,3.42113
54,3.62814
54.5,3.80835
55,3.96183
55.5,4.08877
56,4.18944
56.5,4.26417
57,4.31325
57.5,4.33699
58,4.33566
58.5,4.30949
59,4.25867
59.5,4.18334
60,4.08361
60.5,3.95955
61,3.81118
61.5,3.63851
62,3.44154
62.5,3.22026
63,2.97469
63.5,2.70492
64,2.41112
64.5,2.09362
65,1.75294
65.5,1.38994
66,1.00591
66.5,0.602688
67,0.182917
67.5,-0.249779
68,-0.690528
68.5,-1.13295
69,-1.56896
69.5,-1.98868
70,-2.38067
70.5,-2.73244
71,-3.03153
71.5,-3.26696
72,-3.43088
72.5,-3.51993
73,-3.53589
73.5,-3.48533
74,-3.37854
74.5,-3.22785
75,-3.04613
75.5,-2.84552
76,-2.63675
76.5,-2.42881
77,-2.22894
77.5,-2.04279
78,-1.8747
78.5,-1.72792
79,-1.60488
79.5,-1.50736
80,-1.43668
80.5,-1.39383
81,-1.37955
81.5,-1.39443
82,-1.43893
82.5,-1.51344
83,-1.61831
83.5,-1.75382
84,-1.9202
84.5,-2.1176
85,-2.34603
85.5,-2.60531
86,-2.89495
86.5,-3.21398
87,-3.56078
87.5,-3.93274
88,-4.32593
88.5,-4.73454
89,-5.15042
89.5,-5.56244
90,-5.95616
90.5,-6.31385
91,-6.61547
91.5,-6.84073
92,-6.97232
92.5,-6.99943
93,-6.92041
93.5,-6.74314
94,-6.48314
94.5,-6.16011
95,-5.79455
95.5,-5.40519
96,-5.00771
96.5,-4.61443
97,-4.23457
97.5,-3.87478
98,-3.53969
98.5,-3.23248
99,-2.95524
99.5,-2.70934
100,-2.49565
100.5,-2.31477
101,-2.1671
101.5,-2.05298
102,-1.97275
102.5,-1.92681
103,-1.91567
103.5,-1.93999
104,-2.00062
104.5,-2.09862
105,-2.23533
105.5,-2.4124
106,-2.63189
106.5,-2.89627
107,-3.20858
107.5,-3.57252
108,-3.99259
108.5,-4.47431
109,-5.02443
109.5,-5.65125
110,-6.36497
110.5,-7.17802
111,-8.10523
111.5,-9.16328
112,-10.3677
112.5,-11.7227
113,-13.1922
113.5,-14.6266
114,-15.6539
114.5,-15.7716
115,-14.8842
115.5,-13.4396
116,-11.8781
116.5,-10.4038
117,-9.07572
117.5,-7.89684
118,-6.85332
118.5,-5.92829
119,-5.1062
119.5,-4.37387
120,-3.72043
120.5,-3.13701
121,-2.61639
121.5,-2.15268
122,-1.74105
122.5,-1.37757
123,-1.05897
123.5,-0.782616
124,-0.546336
124.5,-0.34839
125,-0.187394
125.5,-0.0622866
126,0.0277113
126.5,0.0831159
127,0.104199
127.5,0.0909984
128,0.0433243
128.5,-0.0392411
129,-0.157346
129.5,-0.311876
130,-0.503963
130.5,-0.734993
131,-1.00662
131.5,-1.32075
132,-1.67955
132.5,-2.0854
133,-2.54075
133.5,-3.04798
134,-3.60894
134.5,-4.22425
135,-4.89198
135.5,-5.60534
136,-6.34888
136.5,-7.09291
137,-7.78669
137.5,-8.35492
138,-8.70681
138.5,-8.76622
139,-8.5109
139.5,-7.98619
140,-7.27815
140.5,-6.47432
141,-5.64128
141.5,-4.82144
142,-4.03861
142.5,-3.30456
143,-2.62397
143.5,-1.99766
144,-1.42446
144.5,-0.902243
145,-0.428597
145.5,-0.00107393
146,0.382615
146.5,0.724531
147,1.02647
147.5,1.28996
148,1.51625
148.5,1.70634
149,1.86097
149.5,1.98062
150,2.06555
150.5,2.11574
151,2.13093
151.5,2.1106
152,2.05392
152.5,1.95973
153,1.82654
153.5,1.6524
154,1.43489
154.5,1.17099
155,0.856947
155.5,0.488098
156,0.058636
156.5,-0.438733
157,-1.01325
157.5,-1.67675
