angle,rsp
0,14.908
0.5,14.8999
1,14.8756
1.5,14.835
2,14.7779
2.5,14.7044
3,14.6141
3.5,14.5068
4,14.3823
4.5,14.2403
5,14.0802
5.5,13.9018
6,13.7044
6.5,13.4875
7,13.2505
7.5,12.9926
8,12.7131
8.5,12.411
9,12.0853
9.5,11.735
10,11.3588
10.5,10.9555
11,10.5237
11.5,10.0619
12,9.56852
12.5,9.04221
13,8.4816
13.5,7.88577
14,7.25445
14.5,6.58863
15,5.89137
15.5,5.16913
16,4.43357
16.5,3.70401
17,3.00989
17.5,2.39202
18,1.89983
18.5,1.58199
19,1.47126
19.5,1.57126
20,1.85479
20.5,2.27524
21,2.78213
21.5,3.33214
22,3.89314
22.5,4.4436
23,4.97022
23.5,5.46543
24,5.92537
24.5,6.34853
25,6.73478
25.5,7.08479
26,7.39964
26.5,7.6806
27,7.92899
27.5,8.14608
28,8.33308
28.5,8.4911
29,8.62112
29.5,8.724
30,8.8005
30.5,8.85124
31,8.87674
31.5,8.87742
32,8.85358
32.5,8.80543
33,8.73307
33.5,8.63652
34,8.51569
34.5,8.3704
35,8.20037
35.5,8.00523
36,7.78451
36.5,7.53766
37,7.264
37.5,6.96279
38,6.6332
38.5,6.27431
39,5.88517
39.5,5.46483
40,5.01238
40.5,4.5271
41,4.00859
41.5,3.45706
42,2.8737
42.5,2.26128
43,1.62505
43.5,0.973879
44,0.321813
44.5,-0.310334
45,-0.893932
45.5,-1.39334
46,-1.77015
46.5,-1.99149
47,-2.04001
47.5,-1.92011
48,-1.65635
48.5,-1.28498
49,-0.844165
49.5,-0.367157
50,0.120451
50.5,0.600604
51,1.06141
51.5,1.49552
52,1.89873
52.5,2.2689
53,2.60521
53.5,2.90769
54,3.17682
54.5,3.41334
55,3.61813
55.5,3.79209
56,3.93608
56.5,4.05093
57,4.13737
57.5,4.19605
58,4.22753
58.5,4.23227
59,4.21063
59.5,4.1629
60,4.08924
60.5,3.98976
61,3.86446
61.5,3.71326
62,3.53601
62.5,3.33247
63,3.10234
63.5,2.84526
64,2.56082
64.5,2.24858
65,1.90808
65.5,1.53894
66,1.14082
66.5,0.713606
67,0.257445
67.5,-0.227027
68,-0.738458
68.5,-1.27444
69,-1.83106
69.5,-2.40228
70,-2.97924
70.5,-3.54955
71,-4.09669
71.5,-4.60009
72,-5.03633
72.5,-5.38189
73,-5.61743
73.5,-5.73235
74,-5.72767
74.5,-5.61578
75,-5.41717
75.5,-5.15579
76,-4.85501
76.5,-4.53504
77,-4.21197
77.5,-3.89786
78,-3.60133
78.5,-3.32828
79,-3.08261
79.5,-2.86682
80,-2.68236
80.5,-2.53006
81,-2.41029
81.5,-2.32315
82,-2.26858
82.5,-2.24641
83,-2.25645
83.5,-2.29849
84,-2.37232
84.5,-2.4777
85,-2.61441
85.5,-2.78215
86,-2.98054
86.5,-3.20905
87,-3.46691
87.5,-3.75297
88,-4.06558
88.5,-4.40234
89,-4.75987
89.5,-5.13344
90,-5.51666
90.5,-5.90108
91,-6.27591
91.5,-6.62803
92,-6.9424
92.5,-7.2032
93,-7.39557
93.5,-7.508
94,-7.53443
94.5,-7.47561
95,-7.33889
95.5,-7.13676
96,-6.88453
96.5,-6.59815
97,-6.29246
97.5,-5.98029
98,-5.67213
98.5,-5.37616
99,-5.09864
99.5,-4.84419
100,-4.61625
100.5,-4.41731
101,-4.24925
101.5,-4.11349
102,-4.01118
102.5,-3.94335
103,-3.91094
103.5,-3.91495
104,-3.9565
104.5,-4.03687
105,-4.15755
105.5,-4.32035
106,-4.52743
106.5,-4.78141
107,-5.08544
107.5,-5.44332
108,-5.85968
108.5,-6.34007
109,-6.89125
109.5,-7.52133
110,-8.23991
110.5,-9.05806
111,-9.98755
111.5,-11.0384
112,-12.2116
112.5,-13.4813
113,-14.7529
113.5,-15.7983
114,-16.2545
114.5,-15.8774
115,-14.8262
115.5,-13.4695
116,-12.0744
116.5,-10.761
117,-9.56688
117.5,-8.49494
118,-7.53633
118.5,-6.67928
119,-5.91233
