angle,rsp
0,15.5329
0.5,15.527
1,15.5094
1.5,15.48
2,15.4387
2.5,15.3855
3,15.3204
3.5,15.2431
4,15.1536
4.5,15.0517
5,14.9372
5.5,14.81
6,14.6698
6.5,14.5163
7,14.3492
7.5,14.1682
8,13.973
8.5,13.763
9,13.538
9.5,13.2972
10,13.0402
10.5,12.7662
11,12.4746
11.5,12.1646
12,11.8351
12.5,11.4852
13,11.1136
13.5,10.719
14,10.2999
14.5,9.85428
15,9.38022
15.5,8.87524
16,8.33644
16.5,7.76042
17,7.14307
17.5,6.47942
18,5.76336
18.5,4.98726
19,4.14144
19.5,3.21336
20,2.18638
20.5,1.03772
21,-0.264928
21.5,-1.7696
22,-3.55223
22.5,-5.74352
23,-8.59816
23.5,-12.7244
24,-20.2725
24.5,-25.3235
25,-15.1145
25.5,-10.4728
26,-7.53864
26.5,-5.41871
27,-3.77681
27.5,-2.45037
28,-1.34842
28.5,-0.414913
29,0.387121
29.5,1.08336
30,1.69238
30.5,2.22804
31,2.70095
31.5,3.11946
32,3.49021
32.5,3.8186
33,4.10909
33.5,4.36537
34,4.59059
34.5,4.78741
35,4.95813
35.5,5.10475
36,5.229
36.5,5.33243
37,5.41641
37.5,5.48216
38,5.5308
38.5,5.56333
39,5.58066
39.5,5.58365
40,5.57307
40.5,5.54967
41,5.51412
41.5,5.46708
42,5.40918
42.5,5.341
43,5.26313
43.5,5.17613
44,5.08055
44.5,4.97695
45,4.86585
45.5,4.74783
46,4.62341
46.5,4.49318
47,4.3577
47.5,4.21756
48,4.07339
48.5,3.92581
49,3.77549
49.5,3.62312
50,3.46944
50.5,3.31519
51,3.16117
51.5,3.0082
52,2.85715
52.5,2.7089
53,2.56434
53.5,2.4244
54,2.29
54.5,2.16203
55,2.0414
55.5,1.92891
56,1.82536
56.5,1.73142
57,1.64767
57.5,1.57459
58,1.51247
58.5,1.46151
59,1.4217
59.5,1.39289
60,1.37476
60.5,1.36684
61,1.36852
61.5,1.37904
62,1.39756
62.5,1.42314
63,1.45475
63.5,1.49135
64,1.53186
64.5,1.57518
65,1.62023
65.5,1.66597
66,1.71136
66.5,1.75542
67,1.79721
67.5,1.83587
68,1.87056
68.5,1.90051
69,1.925
69.5,1.94339
70,1.95506
70.5,1.95945
71,1.95607
71.5,1.94445
72,1.9242
72.5,1.89493
73,1.85633
73.5,1.80813
74,1.75008
74.5,1.68201
75,1.60377
75.5,1.51528
76,1.41651
76.5,1.30748
77,1.18831
77.5,1.05917
78,0.920326
78.5,0.772162
79,0.615163
79.5,0.449949
80,0.277294
80.5,0.0981355
81,-0.0864017
81.5,-0.274991
82,-0.466092
82.5,-0.657941
83,-0.848554
83.5,-1.03574
84,-1.21714
84.5,-1.39024
85,-1.5525
85.5,-1.70138
86,-1.83451
86.5,-1.94974
87,-2.04535
87.5,-2.12006
88,-2.17321
88.5,-2.20475
89,-2.21529
89.5,-2.20602
90,-2.17871
90.5,-2.13552
91,-2.07896
91.5,-2.01174
92,-1.93661
92.5,-1.85636
93,-1.77364
93.5,-1.69097
94,-1.61069
94.5,-1.5349
95,-1.46553
