angle,rsp
0,15.5329
0.5,15.5248
1,15.5004
1.5,15.4596
2,15.4024
2.5,15.3285
3,15.2378
3.5,15.13
4,15.0048
4.5,14.8618
5,14.7006
5.5,14.5207
6,14.3214
6.5,14.1022
7,13.8621
7.5,13.6005
8,13.3162
8.5,13.0082
9,12.675
9.5,12.3153
10,11.9272
10.5,11.5088
11,11.0577
11.5,10.5714
12,10.0465
12.5,9.4795
13,8.86595
13.5,8.2007
14,7.47759
14.5,6.6893
15,5.82714
15.5,4.88101
16,3.83955
16.5,2.69134
17,1.42826
17.5,0.0548591
18,-1.38871
18.5,-2.77873
19,-3.84816
19.5,-4.24072
20,-3.81439
20.5,-2.81301
21,-1.58765
21.5,-0.358915
22,0.781073
22.5,1.80639
23,2.71771
23.5,3.52461
24,4.23857
24.5,4.87048
25,5.42987
25.5,5.92486
26,6.36222
26.5,6.74765
27,7.08588
27.5,7.38089
28,7.63602
28.5,7.85407
29,8.03742
29.5,8.18808
30,8.30775
30.5,8.39785
31,8.45962
31.5,8.49407
32,8.50205
32.5,8.48428
33,8.44134
33.5,8.37372
34,8.2818
34.5,8.16588
35,8.02619
35.5,7.86294
36,7.67628
36.5,7.46635
37,7.23331
37.5,6.97736
38,6.69879
38.5,6.39801
39,6.07564
39.5,5.73261
40,5.3702
40.5,4.99026
41,4.59534
41.5,4.18891
42,3.77557
42.5,3.36127
43,2.95353
43.5,2.56149
44,2.19576
44.5,1.86798
45,1.58993
45.5,1.37226
46,1.22305
46.5,1.14653
47,1.14229
47.5,1.2054
48,1.32721
48.5,1.49677
49,1.70224
49.5,1.93208
50,2.17588
50.5,2.42475
51,2.67143
51.5,2.91019
52,3.13664
52.5,3.34749
53,3.54033
53.5,3.71343
54,3.86561
54.5,3.99604
55,4.1042
55.5,4.18979
56,4.25263
56.5,4.29265
57,4.30986
57.5,4.30429
58,4.27604
58.5,4.22519
59,4.15185
59.5,4.05615
60,3.93822
60.5,3.79823
61,3.63639
61.5,3.45295
62,3.24825
62.5,3.02275
63,2.77705
63.5,2.51195
64,2.22853
64.5,1.9282
65,1.6128
65.5,1.28472
66,0.946992
66.5,0.603404
67,0.258614
67.5,-0.0818058
68,-0.411387
68.5,-0.722902
69,-1.00866
69.5,-1.261
70,-1.47291
70.5,-1.63876
71,-1.75501
71.5,-1.82065
72,-1.8374
72.5,-1.80943
73,-1.74291
73.5,-1.64523
74,-1.52433
74.5,-1.38808
75,-1.24382
75.5,-1.09812
76,-0.956641
76.5,-0.824146
77,-0.704573
77.5,-0.601135
78,-0.516435
78.5,-0.452582
79,-0.411296
79.5,-0.393992
80,-0.401864
80.5,-0.435941
81,-0.497135
81.5,-0.586283
82,-0.704172
82.5,-0.851553
83,-1.02915
83.5,-1.23764
84,-1.47766
84.5,-1.74972
85,-2.05416
85.5,-2.391
86,-2.75981
86.5,-3.15939
87,-3.58745
87.5,-4.04004
88,-4.51088
88.5,-4.99048
89,-5.46518
89.5,-5.91639
90,-6.32054
90.5,-6.65042
91,-6.87872
91.5,-6.9835
92,-6.95385
92.5,-6.79322
93,-6.51837
93.5,-6.15456
94,-5.72969
94.5,-5.26965
95,-4.79582
