angle,rsp
0,-6.77935
0.5,-6.78445
1,-6.79979
1.5,-6.82551
2,-6.86182
2.5,-6.90905
3,-6.96765
3.5,-7.03818
4,-7.12139
4.5,-7.21821
5,-7.32981
5.5,-7.45771
6,-7.60385
6.5,-7.77074
7,-7.96173
7.5,-8.18137
8,-8.43602
8.5,-8.73496
9,-9.09241
9.5,-9.53168
10,-10.0947
10.5,-10.8675
11,-12.0515
11.5,-13.4798
12,-12.1359
12.5,-10.973
13,-10.2302
13.5,-9.70104
14,-9.29732
14.5,-8.97626
15,-8.71414
15.5,-8.49653
16,-8.31401
16.5,-8.16014
17,-8.03032
17.5,-7.92117
18,-7.83014
18.5,-7.75527
19,-7.69505
19.5,-7.6483
20,-7.61408
20.5,-7.59168
21,-7.58054
21.5,-7.58025
22,-7.59052
22.5,-7.61119
23,-7.64217
23.5,-7.68351
24,-7.73534
24.5,-7.79792
25,-7.8716
25.5,-7.95688
26,-8.05442
26.5,-8.16505
27,-8.28984
27.5,-8.43012
28,-8.58762
28.5,-8.76451
29,-8.96365
29.5,-9.18882
30,-9.44509
30.5,-9.73955
31,-10.0823
31.5,-10.4884
32,-10.9806
32.5,-11.5925
33,-12.3534
33.5,-13.1007
34,-13.0542
34.5,-12.3614
35,-11.7235
35.5,-11.2339
36,-10.8586
36.5,-10.5665
37,-10.3368
37.5,-10.1561
38,-10.0152
38.5,-9.90813
39,-9.83062
39.5,-9.77971
40,-9.75336
40.5,-9.7502
41,-9.76939
41.5,-9.81044
42,-9.87311
42.5,-9.95725
43,-10.0625
43.5,-10.1879
44,-10.3309
44.5,-10.4864
45,-10.644
45.5,-10.7863
46,-10.8881
46.5,-10.9221
47,-10.8729
47.5,-10.7468
48,-10.5676
48.5,-10.3623
49,-10.1517
49.5,-9.94852
50,-9.75951
50.5,-9.58772
51,-9.43418
51.5,-9.29889
52,-9.18138
52.5,-9.08103
53,-8.99723
53.5,-8.9294
54,-8.87709
54.5,-8.84
55,-8.81793
55.5,-8.81085
56,-8.8189
56.5,-8.84238
57,-8.8818
57.5,-8.93792
58,-9.01178
58.5,-9.10479
59,-9.21882
59.5,-9.35641
60,-9.52099
60.5,-9.71731
61,-9.95209
61.5,-10.2353
62,-10.5822
62.5,-11.0184
63,-11.5896
63.5,-12.3864
64,-13.5631
64.5,-14.1988
65,-12.9525
65.5,-11.9756
66,-11.303
66.5,-10.8045
67,-10.415
67.5,-10.1003
68,-9.84035
68.5,-9.62249
69,-9.43839
69.5,-9.28219
70,-9.14964
70.5,-9.03757
71,-8.9436
71.5,-8.86584
72,-8.80284
72.5,-8.75345
73,-8.71676
73.5,-8.69208
74,-8.67888
74.5,-8.67679
75,-8.68557
75.5,-8.70512
76,-8.7355
76.5,-8.77689
77,-8.82964
77.5,-8.89429
78,-8.97155
78.5,-9.06244
79,-9.16823
79.5,-9.29059
80,-9.43166
80.5,-9.59419
81,-9.78166
81.5,-9.99848
82,-10.2501
82.5,-10.5423
83,-10.8795
83.5,-11.2562
84,-11.6316
84.5,-11.8837
85,-11.8469
85.5,-11.534
86,-11.1149
86.5,-10.7024
87,-10.3317
87.5,-10.0068
88,-9.72339
88.5,-9.47563
89,-9.25845
89.5,-9.06772
90,-8.90019
90.5,-8.75334
91,-8.62522
91.5,-8.51434
92,-8.41954
92.5,-8.34
93,-8.2751
93.5,-8.22446
94,-8.18788
94.5,-8.16535
95,-8.15702
95.5,-8.16326
96,-8.18463
96.5,-8.22192
97,-8.27625
97.5,-8.34906
98,-8.44231
98.5,-8.55858
99,-8.7014
99.5,-8.8756
100,-9.08811
100.5,-9.34919
101,-9.67503
101.5,-10.0931
102,-10.6564
102.5,-11.488
103,-13.0165
103.5,-16.3336
104,-12.3604
104.5,-11.0998
105,-10.3295
105.5,-9.77646
106,-9.3481
106.5,-9.00187
107,-8.71462
107.5,-8.47239
108,-8.26613
108.5,-8.0897
109,-7.93873
109.5,-7.81005
110,-7.70133
110.5,-7.61082
111,-7.53723
111.5,-7.47962
112,-7.43734
112.5,-7.40999
113,-7.39737
113.5,-7.39953
114,-7.41669
114.5,-7.44933
115,-7.49818
115.5,-7.5643
116,-7.64911
116.5,-7.75454
117,-7.88321
117.5,-8.03869
118,-8.22596
118.5,-8.45216
119,-8.72799
119.5,-9.07044
120,-9.50875
120.5,-10.0999
121,-10.9804
121.5,-12.6527
122,-14.5581
122.5,-11.567
123,-10.3979
123.5,-9.66399
124,-9.1312
124.5,-8.71594
125,-8.37869
125.5,-8.09764
126,-7.85947
126.5,-7.6555
127,-7.47974
127.5,-7.32792
128,-7.19691
128.5,-7.08435
129,-6.98849
129.5,-6.90794
130,-6.8417
130.5,-6.78898
131,-6.74923
131.5,-6.72209
132,-6.70735
132.5,-6.70497
133,-6.71507
133.5,-6.73791
134,-6.77394
134.5,-6.82379
135,-6.88833
135.5,-6.96868
136,-7.06629
136.5,-7.183
137,-7.32118
137.5,-7.48378
138,-7.67451
138.5,-7.89783
139,-8.15861
139.5,-8.46048
140,-8.80019
140.5,-9.15078
141,-9.42708
141.5,-9.48351
142,-9.26378
142.5,-8.88741
143,-8.48231
143.5,-8.10413
144,-7.76654
144.5,-7.46867
145,-7.20594
145.5,-6.97352
146,-6.7672
146.5,-6.58356
147,-6.41983
147.5,-6.27383
148,-6.1438
148.5,-6.02836
149,-5.92641
149.5,-5.83706
150,-5.75965
150.5,-5.69366
151,-5.63872
151.5,-5.59456
152,-5.56107
152.5,-5.5382
153,-5.52605
153.5,-5.52481
154,-5.53478
154.5,-5.55638
155,-5.59017
155.5,-5.63687
156,-5.69734
156.5,-5.77263
157,-5.86399
157.5,-5.97284
158,-6.1007
158.5,-6.249
159,-6.41862
159.5,-6.60876
160,-6.81462
160.5,-7.02278
161,-7.20447
161.5,-7.31253
162,-7.2982
162.5,-7.14892
163,-6.90073
163.5,-6.60537
164,-6.30063
164.5,-6.00627
165,-5.73033
165.5,-5.47501
166,-5.23992
166.5,-5.02369
167,-4.82466
167.5,-4.64121
168,-4.47187
168.5,-4.31533
169,-4.17047
169.5,-4.03629
170,-3.91197
170.5,-3.79678
171,-3.6901
171.5,-3.59138
172,-3.50015
172.5,-3.41602
173,-3.33862
173.5,-3.26766
174,-3.20285
174.5,-3.14396
175,-3.09079
175.5,-3.04317
176,-3.00094
176.5,-2.96396
177,-2.93213
177.5,-2.90534
178,-2.88353
178.5,-2.86663
179,-2.85459
179.5,-2.84738
