angle,rsp
0,-6.77935
0.5,-6.78144
1,-6.78768
1.5,-6.79797
2,-6.81217
2.5,-6.83007
3,-6.8514
3.5,-6.87585
4,-6.90302
4.5,-6.9325
5,-6.96381
5.5,-6.99646
6,-7.02993
6.5,-7.06372
7,-7.09738
7.5,-7.13048
8,-7.16272
8.5,-7.19388
9,-7.22391
9.5,-7.25287
10,-7.281
10.5,-7.30867
11,-7.3364
11.5,-7.36481
12,-7.39463
12.5,-7.42666
13,-7.46174
13.5,-7.50076
14,-7.54462
14.5,-7.59425
15,-7.65059
15.5,-7.71459
16,-7.78725
16.5,-7.86962
17,-7.96281
17.5,-8.06804
18,-8.18666
18.5,-8.3202
19,-8.47041
19.5,-8.63935
20,-8.82937
20.5,-9.04322
21,-9.28393
21.5,-9.55446
22,-9.85665
22.5,-10.1882
23,-10.5354
23.5,-10.8585
24,-11.079
24.5,-11.1154
25,-10.9691
25.5,-10.723
26,-10.4548
26.5,-10.2039
27,-9.98381
27.5,-9.79697
28,-9.64184
28.5,-9.51575
29,-9.41601
29.5,-9.34024
30,-9.28639
30.5,-9.25276
31,-9.23784
31.5,-9.24032
32,-9.25891
32.5,-9.29226
33,-9.33884
33.5,-9.39672
34,-9.46346
34.5,-9.53584
35,-9.60975
35.5,-9.68011
36,-9.74113
36.5,-9.78695
37,-9.81258
37.5,-9.81511
38,-9.79444
38.5,-9.75335
39,-9.69666
39.5,-9.63018
40,-9.55963
40.5,-9.49002
41,-9.42541
41.5,-9.36891
42,-9.32286
42.5,-9.289
43,-9.26866
43.5,-9.26291
44,-9.27265
44.5,-9.29877
45,-9.34215
45.5,-9.40373
46,-9.48456
46.5,-9.5858
47,-9.70862
47.5,-9.85411
48,-10.0229
48.5,-10.2142
49,-10.4244
49.5,-10.6437
50,-10.8518
50.5,-11.0136
51,-11.0867
51.5,-11.0458
52,-10.9042
52.5,-10.7018
53,-10.4779
53.5,-10.2578
54,-10.0544
54.5,-9.87306
55,-9.71529
55.5,-9.58094
56,-9.46919
56.5,-9.37903
57,-9.3095
57.5,-9.25982
58,-9.22936
58.5,-9.21772
59,-9.22467
59.5,-9.25014
60,-9.29425
60.5,-9.35719
61,-9.43926
61.5,-9.54067
62,-9.66138
62.5,-9.80075
63,-9.95687
63.5,-10.1254
64,-10.2982
64.5,-10.4607
65,-10.5919
65.5,-10.6675
66,-10.6699
66.5,-10.599
67,-10.4719
67.5,-10.3129
68,-10.1434
68.5,-9.97787
69,-9.82483
69.5,-9.68868
70,-9.57141
70.5,-9.47372
71,-9.39566
71.5,-9.337
72,-9.29744
72.5,-9.27669
73,-9.2745
73.5,-9.29068
74,-9.32503
74.5,-9.37728
75,-9.44692
75.5,-9.53294
76,-9.63343
76.5,-9.74493
77,-9.86152
77.5,-9.97386
78,-10.0687
78.5,-10.1298
79,-10.1427
79.5,-10.0999
80,-10.0052
80.5,-9.87139
81,-9.71448
81.5,-9.54878
82,-9.38474
82.5,-9.22907
83,-9.08572
83.5,-8.95678
84,-8.84324
84.5,-8.74546
85,-8.66344
85.5,-8.59704
86,-8.54607
86.5,-8.51034
87,-8.48971
87.5,-8.48408
88,-8.49342
88.5,-8.51772
89,-8.55702
89.5,-8.61132
90,-8.68052
90.5,-8.76428
91,-8.86186
91.5,-8.97175
